f,h,R_0,R_n,E_phi,E_psi,P,Q,N_0,N_n
[74 53],[53 67],2,48,[78 92],[ 9 27],[[34 78 14  2]; [18 70 12 72]],[[90 34 98 76]; [48 82 12 32]],[ 82 102  82  16],[34 80 44 52]
[65 33],[47 89],34,12,[93 11],[86 15],[[ 10  62  30  76]; [ 90  72 104   6]],[[54 84 40 78]; [12 62 78 66]],[ 2 98 26 12],[ 36  42  56 104]
[12 62],[20 67],90,66,[ 4 68],[56 70],[[ 94 104  56  68]; [ 92  12  44  66]],[[52 54 10  2]; [34 92 30 92]],[56 74 54 56],[62 34 62 62]
[ 6 19],[85 13],26,10,[44 71],[80 50],[[ 2 50  8 82]; [60 50 84 50]],[[ 26   2  30  16]; [102   2  50   2]],[14  0  6 20],[ 50 102  38  68]
[76  3],[ 6 67],42,88,[57 75],[43 43],[[ 66  12  10  72]; [ 66 100  68   8]],[[58 20 70  0]; [86 16 86  6]],[ 46 102  48  46],[80 16 40 88]
[ 70 104],[47 97],48,36,[71 83],[27 68],[[ 6 56 60 90]; [50 54 90 36]],[[78 20  8 28]; [58 50 78 50]],[  4 104   4  28],[68 22 62 68]
[51 84],[ 7 56],90,24,[89 55],[ 72 100],[[78 20 90 88]; [98 20 80 94]],[[56 36 26 52]; [98 72 98 40]],[90 18 22 24],[66 28 68 50]
[  8 103],[23 16],62,48,[67 19],[15  9],[[90 48 36 90]; [18 42 72 48]],[[84 22 84 68]; [10 38 62 52]],[60 82 68  4],[66 22  2 84]
[18 41],[103  24],30,82,[ 0 77],[47  6],[[  6 102  26  48]; [ 52  28  76  64]],[[74 62 42 50]; [82 14 74 26]],[78 90 48 18],[32 98 84 60]
[ 9 40],[73 71],16,38,[53 97],[41 33],[[ 26  98  52 104]; [ 68   4  78  36]],[[64  4 44 30]; [84 36 98 56]],[32 24 74 18],[56 78 94  6]
[104  85],[20  7],28,58,[ 0 10],[89 59],[[30 54 12 26]; [86 22 94 46]],[[30  6  0 32]; [ 2 40 48 18]],[58 92 84 70],[30 74 42 98]
[66 53],[27 33],80,8,[34 12],[69 29],[[12 92 68  2]; [24 96 90 60]],[[ 60  18  82  56]; [100 102 102   4]],[78 56 90 46],[94  4 70 82]
[57 95],[60  9],86,86,[34 50],[44 61],[[  0  86  40 102]; [ 10  46  32  66]],[[100  94  66  86]; [ 26  82  36  78]],[ 98 104  28  38],[46 82 22 56]
[38 27],[102  86],92,62,[52 33],[52 94],[[100  78  22  22]; [ 70 100  56  28]],[[72 12 18 92]; [44 86 10 42]],[32 16  8 90],[48 96 58  2]
[20 42],[32 25],72,88,[ 9 24],[ 7 93],[[104  74  88  18]; [ 72   0  96  34]],[[66 28 44 72]; [50 36  6 80]],[60 14  6  6],[62 46 52 94]
[ 72 104],[55 86],72,66,[57 64],[58 29],[[ 60  86  56  88]; [ 94 102  84  18]],[[102   0  64  32]; [ 30  84 104  42]],[ 54  98 104  76],[26 86 12 28]
[73  8],[79  2],44,66,[18  7],[89 17],[[42 48 10 76]; [68 78 70 84]],[[52 90 46 12]; [ 0 12 56 22]],[100  76   0  84],[24 20 50 74]
[50 66],[ 78 103],74,24,[85 92],[15 91],[[100  64  26   2]; [ 20  60  86  74]],[[ 56  38  34  46]; [ 92  50 100  42]],[86 18  8 14],[16 34 96 62]
[27 15],[64 40],30,100,[98 87],[ 4 98],[[78 84 70 38]; [64  8 68 52]],[[ 42  42 102  54]; [ 54  32 100  66]],[90  6 82 40],[ 36  52  66 104]
[ 76 103],[ 3 53],90,14,[28 26],[75 74],[[98  2 56 72]; [98 70 32 96]],[[82 34 28 22]; [38 12  0 38]],[78 38 88 80],[40  4  0 48]
[90 56],[97 71],54,76,[51 44],[40 24],[[48 94  0 70]; [82 12 30 76]],[[102  54   6  86]; [  0  32  58  56]],[26 12 22 40],[66 52 14 86]
[48  0],[97 78],20,24,[59 71],[ 34 104],[[70 14 74 72]; [70 78 74 16]],[[70 22 72 24]; [70 76 72 52]],[42 14 70 66],[ 24 100  84  64]
[24 28],[102  48],98,2,[91 63],[57 80],[[ 12   8  58  96]; [104  92  32   6]],[[94 84 64 52]; [80 52 92  2]],[98 50 50 46],[28  2 52 16]
[ 3 44],[ 49 102],66,22,[12 57],[26 79],[[104  34  24  22]; [ 86   6  40  28]],[[ 0 92 30 56]; [72 58 38 28]],[ 8  2 52 76],[20 18 86 50]
[36 99],[42 18],102,96,[70 53],[51 42],[[ 52   4 104  76]; [ 96  64  62 100]],[[ 62  34  72  60]; [  4  54 104  98]],[100  58   2  88],[24 20 16 36]
[100 104],[77 42],70,56,[15 13],[53 66],[[ 10 100  40  42]; [ 62  36  68  42]],[[ 72  84 102  12]; [102  60  12   8]],[12 32 56 88],[34 92 66 30]
[23 96],[79 70],64,10,[58 57],[91 63],[[40 32 74 14]; [32 38 28 68]],[[62  2 92 68]; [ 2 30 28 90]],[36 32 58 24],[66 72 70  8]
[ 0 47],[47 53],8,18,[ 75 103],[76 36],[[86 74 82 50]; [ 8 20 32 64]],[[ 80  98  72  38]; [102  82  38   4]],[80 76  4 80],[34  4 82 70]
[62  9],[77 34],24,44,[85 43],[55 91],[[ 70  80  44 100]; [  0  46  92 100]],[[16 58 12 46]; [24 30 28 48]],[88 48 84 60],[34 32 46  4]
[40  5],[96 37],46,92,[ 0 90],[96 31],[[50 70 38 34]; [56 14 14 90]],[[60 22 16 50]; [20 80 56 62]],[84 34  6 66],[ 18   0 104  62]
[29 64],[54 60],20,26,[23  9],[55 31],[[10 38 82 46]; [ 2 16 80  2]],[[  6  22  66  58]; [104  88  20  32]],[22 96 32 22],[ 8 92 70 84]
[83 44],[47 59],10,100,[44 88],[ 44 102],[[92 26 30 38]; [12 36 76 12]],[[68 38 16 86]; [24  2 40 46]],[56 40 22 72],[90 40 34 62]
[79 57],[86 78],36,74,[ 6 58],[16 63],[[ 50  60   2  20]; [  0 104   4  90]],[[46 32 24 38]; [12 14 68 54]],[66 84 64 88],[54 52 34  8]
[ 5 41],[29 36],68,48,[61 35],[75 44],[[ 34   8  94  88]; [ 92   4 100 102]],[[90 10 84  0]; [90 96 30 58]],[16 32 32  4],[ 30  84 102  52]
[103  60],[50 57],44,54,[52 40],[70 23],[[50 50 82 50]; [98 76 22 12]],[[30 30 26 22]; [46 14 90 26]],[90 36 70 12],[62 22 48 42]
[25 16],[71 41],88,70,[81 19],[ 5 77],[[ 90 102  82  14]; [ 24  46  78   2]],[[ 4 68 40 28]; [30 52  8 86]],[52 70 68 44],[66 48 82 94]
[49 10],[50 16],6,94,[36 95],[95 20],[[ 72 104  44  58]; [ 40  40   0  92]],[[ 98  50  54  28]; [ 84 102  10  78]],[92 44 74 40],[98 24 84 16]
[52 62],[76 65],100,2,[58 90],[75 98],[[66 34 24 96]; [56 42 60 46]],[[64 76 56 70]; [36 82  0 24]],[72 64 70 28],[52 84  4 42]
[41 29],[39  4],30,90,[76 46],[104  21],[[32  8 66 14]; [92 60 22 62]],[[ 24  26 100  54]; [ 96  44  76  42]],[104  32  82  26],[22  2 84 12]
[72 24],[89 38],2,28,[  9 104],[66 36],[[ 16  70 100  36]; [ 44  92  32  22]],[[18  6 70 18]; [26 58 68 96]],[40 54 90 94],[  4  10  20 104]
[52 15],[94 33],86,6,[70 85],[ 9 92],[[74 56 88 28]; [32 74 58 60]],[[ 56  20  66 102]; [ 28  58  20  86]],[100  68  88  32],[ 22  62 102 104]
[89 40],[98  2],22,68,[69 68],[ 72 102],[[66 88 78 52]; [24 12 36 60]],[[ 70  98  76 104]; [ 82  80  22  92]],[12 76 30 38],[88 76 88 48]
[93 75],[85 21],74,30,[99  8],[72 91],[[ 24  26  54  10]; [ 94  16  84 104]],[[52 26 36 90]; [ 2 78 16 92]],[104  46  82  38],[ 4 86 44 86]
[102  39],[48  8],80,48,[69 41],[71 23],[[84  6 18 12]; [14 50 70 44]],[[ 82  98 100  62]; [ 28   0  36  56]],[40 12  6  0],[ 92  60 104  58]
[61 55],[59 78],34,76,[86 69],[  9 102],[[22 50 28 48]; [98  6 78  8]],[[88 58 80 66]; [50 58 32 22]],[ 50  88 102  44],[48 74 98 44]
[62 52],[89 81],68,100,[ 8 21],[ 2 77],[[16 98  8 84]; [38 16 42  2]],[[ 94  18 100  28]; [ 48  90  80  32]],[18 94 74 90],[94 80 54 76]
[52 55],[90  2],46,10,[40 90],[91 28],[[16 88 94 78]; [22 36 18 60]],[[62 92 32 80]; [88 82 12 26]],[ 96  30   0 100],[100  86  52  40]
[95 43],[65 58],48,28,[20 17],[88 70],[[80 66 86 96]; [94 88 32 26]],[[62 80  4 74]; [86 20 60 16]],[18 96 44 30],[94 94 46 94]
[24 38],[49  9],98,6,[85 95],[103  29],[[ 24  20  64  92]; [104  70   8  50]],[[ 18   0  38  96]; [  8  76  20 100]],[62 44  2 18],[52 16 24 10]
[95 40],[ 75 101],34,6,[30 36],[79  6],[[ 38 104  94  28]; [ 32  20  20  78]],[[102 104  18  24]; [ 54  66  58  96]],[100  78  18  28],[26 20 80 96]
[ 9 16],[42 50],88,46,[90  0],[35 10],[[102   8  70   8]; [ 98 102  60  70]],[[32 48 20 62]; [44 32 78  4]],[70 80 66 90],[ 14  26 100  34]
[50 93],[36 71],46,76,[ 2 70],[27 26],[[102  56  56  34]; [ 62  86  80  62]],[[100  40  76  42]; [ 48  26  12  86]],[18 56 14 84],[86 16 82  2]
[74 34],[46 75],12,60,[57 43],[82 54],[[36  0 24 54]; [32 70 46 36]],[[60 84 16 34]; [10 30  8 82]],[18 34 58 30],[60 58 98 68]
[74 55],[12  6],78,42,[ 8 66],[30 92],[[ 28  88  56  26]; [ 20  98  72 104]],[[72 66 70 76]; [98 84 54 54]],[46 18 42 26],[ 94  24  30 102]
[87 46],[53 75],26,62,[29  8],[ 45 101],[[ 50 100  64  70]; [ 84  38   6  20]],[[32 22 90 80]; [66 90 12 18]],[44 50 60 18],[18 88 42 26]
[93 28],[41 19],68,92,[100  68],[41 65],[[38 14 42 90]; [60 60 44 16]],[[ 88 102  22  68]; [ 86  30  26  94]],[ 6 70  8 50],[50  6  6 36]
[ 6 46],[63 95],84,78,[35 32],[73 38],[[44 70 34 32]; [40 40 46 86]],[[12 56 98 42]; [26 80 86 62]],[ 94  50   4 102],[ 4  0 16 46]
[30 74],[58 82],54,78,[100  62],[91 87],[[  0  40  64  84]; [ 22 100  18  94]],[[68 94 82 38]; [84 42 52 56]],[24 34 30  4],[76 26 36 96]
[57 43],[77 16],32,16,[ 5 24],[74 64],[[96 36 86 92]; [18 34 42  0]],[[ 52   0 100  22]; [ 60  68  18  80]],[96 92 60 24],[94 38 54 64]
[91 33],[93 95],28,40,[82  3],[32 78],[[60 18 80 88]; [38 64 18 58]],[[90 64  4 12]; [50 38 20 42]],[36 18  4 54],[98 52 96 94]
[56  4],[72 24],100,82,[ 6 47],[29 77],[[ 4 74 72 38]; [14 84 34 88]],[[ 72  36  88  54]; [ 96 102  80  52]],[18 40 34 18],[ 16 100   6  60]
[ 59 100],[35 23],4,38,[40 56],[81  3],[[72 74  8 32]; [ 0 26 34 16]],[[ 26 102  88  18]; [  2  86  64  56]],[74 22 10 14],[100  14  82  50]
[70 53],[73  8],34,48,[97 30],[ 2 92],[[ 10  78  28  70]; [ 70  98 100  50]],[[ 66  98  34   2]; [ 70  40 104  76]],[72 82 92 70],[ 30  98 100  50]
[96 25],[60 32],98,40,[96 98],[102  36],[[94  4 54  4]; [70 24 98 98]],[[ 68  56 102  62]; [ 46  76  84  32]],[72 66 98 30],[22 48 22 44]
[57 88],[48 23],78,102,[44 62],[46 29],[[38 64 84 10]; [74 44 26 62]],[[30 42 76 30]; [64 52 24 64]],[ 0  6  2 74],[80 86 24  4]
[80 14],[64 40],26,8,[ 77 104],[55 48],[[ 88  70   4  18]; [100  70  36  28]],[[ 48  12 100  84]; [ 36  10  78  50]],[64 94 80 94],[20 68 82 82]
[17 70],[21  0],22,80,[74 33],[41 70],[[10 38 90 18]; [76  2 68 92]],[[92 82 68 22]; [36 84 64 88]],[86 16 38 96],[ 16   4 104  90]
[ 69 102],[96 81],32,24,[77 53],[56 42],[[ 90  82 104 100]; [ 94 104  52  66]],[[ 84 102   2  76]; [ 70  38   0  10]],[64 38 56  4],[104  66 104  50]
[50  3],[22 62],6,36,[66 97],[28  7],[[ 68  52  14  40]; [100  94  64  68]],[[104  82  80   2]; [ 24  98  86   0]],[20 76 14 26],[54 58 34 46]
[8 9],[  9 102],76,32,[79 55],[10 96],[[38 64 26  6]; [98 98  4 12]],[[ 62  20  86  90]; [ 54  76 104  28]],[ 8 28 12 36],[ 76  40 102  62]
[98 29],[88 65],10,18,[77 20],[69 47],[[98 66 88 16]; [42 94 54 58]],[[44 72 22 38]; [54 66 90 30]],[90 10 60 36],[100  90  52  96]
[58 77],[41 87],62,98,[31 45],[15 14],[[70  6 94 20]; [64 90 92 60]],[[42 12 72 52]; [ 4 84  8 92]],[18 96 54 46],[30 54 74 48]
[18  3],[ 8 14],58,76,[93 71],[39  8],[[ 78  38  48 104]; [  6  64  32  94]],[[ 80 100  52  30]; [ 52  24   0  54]],[72  2  6  2],[48  4 44 86]
[69 75],[27 20],2,6,[31 51],[84 70],[[88 64 24 60]; [78 52 12  6]],[[16 10 30 76]; [34 92 30 78]],[28 84 66 80],[  4 102  64  80]
[ 62 102],[ 4 19],72,92,[18 69],[15 32],[[40 30 28 64]; [94 22 86 58]],[[ 38  28  44 102]; [ 40  28  34  52]],[74 10 92 84],[38 46 30 92]
[62 55],[42 26],46,46,[64 12],[40 37],[[ 14  10  48 100]; [ 48  28  80   6]],[[  8 102  52  38]; [ 46  78 100  14]],[84 86 66 40],[92 66 62 80]
[96 89],[ 9 82],90,96,[10 53],[48 22],[[52 52 32 70]; [36 46 10 14]],[[ 26  36  48  92]; [102  32  84  56]],[ 66  20  58 102],[24 56 34  0]
[49  5],[29 29],64,50,[74 14],[ 4 54],[[ 74  66 100  10]; [ 36  74  74  86]],[[ 40 104  48  62]; [ 76  84  74  24]],[60  0 34 40],[98 98 84 24]
[75 82],[100  87],80,44,[79 57],[95 29],[[ 70 100  80  62]; [ 46  78  42  24]],[[ 26   6 104  66]; [102  36  60  84]],[70 40 14 98],[ 70 100  56  78]
[66 50],[99 65],82,84,[57  5],[17 69],[[64  4 82 18]; [58 46 60 32]],[[  6  50 100  86]; [ 62  16  18  22]],[18 52 78 68],[100  52  10  40]
[62  7],[99 73],92,48,[ 63 101],[50 37],[[46 58  8 30]; [84 98 26 54]],[[24 18 92  0]; [60 78 26 82]],[64 78  0 56],[32 34  2 78]
[31 54],[73 74],38,94,[ 7 70],[36  6],[[ 40  74   0   6]; [ 96  52 104  60]],[[90  0 34 32]; [82 56 56 92]],[32 84 28 94],[ 2 40 90 50]
[58 90],[67 99],16,88,[75 98],[72 47],[[102  90  10  32]; [ 54  50  86 104]],[[10 46 74 24]; [56 44 32 54]],[ 98  14   4 104],[ 4 60 18 72]
[55 58],[6 5],84,18,[89 79],[54 92],[[12 78 78 20]; [96 64 28 90]],[[86  2 26 20]; [48  6 44 64]],[92 26 36 32],[54 70 36 32]
[102  47],[47 89],4,74,[96 96],[36 78],[[64 84 42 38]; [14 68 48 68]],[[104  92  56  86]; [ 66   6  32  42]],[  8 100  22  30],[ 50  98 104  12]
[15 58],[98  6],80,22,[41 29],[61 47],[[ 40  82  20  22]; [100  90  56   0]],[[86 58 16 70]; [62 68 36 60]],[80 66 88 54],[86 66 52 14]
[ 7 68],[80 62],100,10,[ 61 100],[41 78],[[40 52 30 38]; [70 68  2 46]],[[58  8 20 42]; [ 6 40 92 78]],[ 4 44 24 66],[ 54  94  72 104]
[49  0],[ 6 84],2,16,[18 18],[43 12],[[ 32  74  80  94]; [102  10  24  26]],[[68 32 22 32]; [84 62 52  8]],[26  2 42 44],[42 86 58 54]
[92 47],[37  7],64,76,[34 50],[52 19],[[48 60  8  0]; [78 92 18 56]],[[ 40  66  82   4]; [ 68  60 100  44]],[ 28  38  78 104],[66 22 56 42]
[38 61],[45 25],88,2,[9 6],[44 76],[[ 82 104   4  56]; [ 94  66   4  60]],[[84 40 16 52]; [82 94 64  0]],[76 12 86 22],[78 38 38 62]
[74 23],[50 57],40,44,[ 7 25],[75 19],[[ 84  34  92  58]; [ 76 100  88  94]],[[102  96  76  76]; [ 96  70   6  58]],[56 10 88 52],[70 36 68 58]
[59 26],[98 66],60,14,[65 26],[26 94],[[ 44  56 104  88]; [ 56  52  42   6]],[[96 36 74 42]; [38 54 18 42]],[64 82 30 90],[72 48 60 16]
[81 97],[ 9 75],60,42,[74 48],[ 5 12],[[64 44 80  0]; [64  6 22 58]],[[ 82  32   2  58]; [ 84  40   0 104]],[50 84 26 78],[80 38 98 14]
[49 42],[43 85],32,14,[22 80],[64 38],[[50 90 42 34]; [34  8 22 88]],[[14 60 44 62]; [82 72 84 32]],[30 82 96 46],[68  6 26 94]
[91  1],[51 19],74,4,[11 80],[54 48],[[ 86   8  90 102]; [ 42  42  74  94]],[[ 82  78  18 104]; [ 30   4  84  86]],[104  68  82   2],[96 86 24 40]
[87 14],[65 66],4,68,[40 34],[75 11],[[ 36 100  16 102]; [  6  98  20  42]],[[  8  22  18  90]; [104  38  42  58]],[14 60 18 96],[18 86 96 46]
[54 17],[18 76],16,50,[44 32],[51 65],[[ 26  54  92  96]; [104   8  94  44]],[[76 20  0 94]; [20 56 28 92]],[28 56 92 10],[78 18 14 54]
[60 28],[25 34],2,74,[103  28],[60 70],[[30 48  4 24]; [20 10 84 64]],[[34 52 48 90]; [78 18 88 84]],[34 66 52 70],[64 56 40 52]
[53 20],[11 42],8,6,[ 4 95],[91 68],[[26  4 16  8]; [64 56 58 76]],[[84 40 16 36]; [64  4 68 72]],[40 32 22 64],[82 28 94  0]
[ 48 104],[60 74],98,50,[27 90],[11  2],[[ 96  56  60  86]; [102  50  72  64]],[[ 80  38  50  18]; [ 74  32  12 102]],[26 72 10 64],[30 42 50 26]
[4 4],[101  92],14,66,[ 1 40],[62 51],[[ 60  48  20   6]; [ 34 102  30  34]],[[ 76 100  62  52]; [ 52  78  18  84]],[ 4 62 12 96],[26 72  4 54]
[95 39],[94 88],8,6,[23 85],[91 27],[[ 30  66 104  76]; [ 44  60  78  86]],[[100  30  48  12]; [ 78  10  34  52]],[76 40  4 74],[30 66 32 58]
[48 43],[25 11],50,14,[72 15],[65 59],[[86 96 14 78]; [12 24  4 78]],[[100  90  94  42]; [102  30  42  14]],[36 54 16 84],[84 86  4 34]
[43 44],[ 1 60],98,74,[70 28],[96 38],[[26 78 56 26]; [10 66 20 52]],[[ 36  36  72  40]; [102  62  46  40]],[18 74 56 82],[28  4 24 38]
[36  6],[61 11],96,12,[85 74],[27 99],[[ 40  80  92 104]; [ 88 104  54  42]],[[ 72  22  22 100]; [ 26  70  86  40]],[32 98 10 56],[78 42 82 88]
[50 71],[48 91],46,8,[85 17],[40 75],[[12 84 56 46]; [14  6 56 26]],[[10 90 78 42]; [96 94  6 86]],[ 2 24 72 46],[14 70 44 80]
[39 52],[35 15],22,22,[27  6],[78 66],[[12 42 72 82]; [84 26 38 32]],[[16 82 20 18]; [44 28 46 58]],[ 52 104  16  56],[22 60 94 26]
[62 16],[16 78],54,34,[96 29],[16 69],[[56 86  2 76]; [42 14 14 78]],[[18 68 84 90]; [38 26 26 96]],[82 78 86 46],[12 98 98 24]
[68 91],[32 84],52,74,[24 71],[67 28],[[ 28  54  48   2]; [ 26 100  26  72]],[[ 78  32  18  34]; [100  56  56  50]],[  0 102  56  30],[68 38 56 72]
[70 85],[ 9 95],2,6,[83 73],[96 21],[[ 0 26 94 82]; [ 4  6 30  2]],[[100  72   4  78]; [ 14  48  26  90]],[20 34 30 64],[ 2 34 96 64]
[66 14],[15 80],64,52,[104  30],[62 42],[[ 38  88  12  28]; [100  14  84  42]],[[  4   0  28  54]; [  0 102  24  30]],[ 6 38 44 46],[ 34  70 104  66]
[ 2 27],[29 88],94,54,[72 83],[39 14],[[44 86 82 14]; [22 46 80 90]],[[86 22  2 26]; [22 52 88 94]],[44 42 26 12],[  2 102  94  14]
[48 42],[14 65],84,76,[93 29],[83 59],[[48 10 22  6]; [28  8 12 72]],[[86 38 58 92]; [48 42 88  8]],[32 38 64 94],[100   6  70  84]
[57 40],[60 44],86,14,[59 10],[101  82],[[  4   4  60  28]; [104  16  74  40]],[[  6  62  60  40]; [100   8  16  88]],[74 36 88 30],[ 8 60 88 62]
[67 38],[74 62],72,94,[68 60],[49 90],[[64  8 34 38]; [84 30 22 14]],[[ 56 104  12  52]; [ 36  16  34  86]],[62  0 92 64],[62 52  0 84]
[85 72],[76 23],14,22,[69 83],[87  4],[[32 20 56 62]; [ 6  2 28 84]],[[ 28  10 104  58]; [ 28  88   0  68]],[100  14   4  56],[58 30 36 70]
[70 79],[68 72],102,30,[50 49],[ 7 92],[[82 72 52 28]; [20 18 48 32]],[[ 92  92  24  30]; [ 20 100  64 100]],[ 32  88 102  50],[40 32 32 42]
[75 69],[51 62],10,28,[101  12],[26 24],[[32 64 66 34]; [80 78 24 66]],[[10 46  2 72]; [38 20 16 70]],[40 60  4 84],[14 82 50 82]
[33 80],[20 69],66,10,[103  20],[50 10],[[14 72 40 82]; [44  8 10 32]],[[80  4 26 28]; [12 96 88 94]],[102  58  70  56],[ 0 42 60 72]
[36  0],[55 42],68,2,[54 42],[101  71],[[ 20  82  64  38]; [ 70  18  40 104]],[[80 44 52 34]; [ 8 60 66 64]],[10  2 88 98],[34 46  8 42]
[10 12],[ 2 16],46,88,[101  71],[76 69],[[82 56 46 16]; [82 78  4 38]],[[14 90 14 42]; [88  2 14 38]],[ 86  68 102  88],[56 88 12 46]
[60 11],[75 81],94,52,[34 46],[100  68],[[ 66 104  78  60]; [ 20  68  62  62]],[[ 18  66  46  80]; [100  80  28  14]],[ 0 26  4 90],[50  8 12 34]
[56 44],[ 74 104],20,18,[99 51],[67 23],[[12  8 16 30]; [24 64 58 96]],[[ 98  72  88 102]; [ 82  42  58  66]],[34 56 10 10],[60 56 28 52]
[62 69],[84 90],100,86,[ 3 78],[13 48],[[40 56 58 42]; [44 80 58 50]],[[ 6 38 34 50]; [72 48 38 40]],[16 40 90 40],[52 22 42 14]
[90 44],[26 33],40,52,[ 1 67],[66  1],[[24 92 26 24]; [10 94 90 32]],[[64 66 10 40]; [68 94 32 92]],[54 88  0 16],[ 90  88 100  44]
[45 43],[64 62],34,28,[95 80],[45 69],[[ 94 102  90  38]; [ 46  10  90  40]],[[36 78 74  2]; [46  4 48 76]],[ 0 92 16 12],[ 44  88  42 100]
[65 58],[25 74],94,96,[25 12],[75 80],[[62 28 12 80]; [78 94 20 68]],[[10 68 24 64]; [46 80 54 52]],[104  88  90  92],[16 82 24 14]
[54  2],[38 65],42,20,[12 91],[65 96],[[96 68 34 90]; [96  0 16 28]],[[ 82  44  56  90]; [ 30  28  74 104]],[ 4 28 74 48],[40 34 96 14]
[32 57],[70 75],68,40,[34 68],[95 51],[[10 98 84 84]; [76 98 10 98]],[[46 24 66 66]; [78 24 76 24]],[24 80 10 60],[56 16 60 12]
[ 9 21],[47 99],102,30,[55 34],[64 98],[[76 66 26 26]; [24 46  4 18]],[[ 8 28 16 28]; [30  2 46 88]],[102  32  90   8],[12 20 94 74]
[68 51],[9 5],78,50,[99 40],[29 18],[[56 18 28 88]; [10 30 94 12]],[[60 18 16 68]; [10  8 70 68]],[ 82 104   2  38],[86 98 80 70]
[89 44],[ 5 42],88,18,[10 26],[77 10],[[96 16 30 22]; [46 64 62 82]],[[72 76 44  8]; [82 68 94 68]],[ 36  50  14 102],[66 34 34 28]
[104  80],[ 55 101],72,96,[53 14],[91 22],[[40 14 84 40]; [26  0 34 42]],[[28 16 26 80]; [88 86 38 62]],[38  6 30 72],[58 60 10 42]
[66 13],[45 66],28,70,[101  68],[74 60],[[ 44  88 100   6]; [ 80  94  32  30]],[[ 52  80 100  92]; [ 12  28  60  44]],[40 34  6 34],[76 78  6  4]
[20 38],[41 50],26,84,[92 71],[82 81],[[48  2 48 50]; [38 28 74 12]],[[ 34  86  16  70]; [ 52  70  10 100]],[ 0 80 48  6],[30 68 52 56]
[22 11],[11  8],76,78,[ 9 28],[89 60],[[34 62 70 38]; [70 48 80 96]],[[74 44 90 80]; [62 42 98 98]],[80 64 70 60],[ 0 86 60 42]
[11 77],[37 99],52,12,[63 57],[ 92 100],[[70  8 90 20]; [18 74 64 38]],[[36 28 76 90]; [70 10 10 80]],[80 18 28 82],[14  6 92  0]
[ 0 76],[59 63],14,26,[102  74],[84 43],[[84 98 40 54]; [30  8 86 24]],[[ 82   4  18 100]; [ 50  66   0  56]],[98 78 34 30],[ 6 48 40 32]
[79 86],[101  93],60,80,[26 55],[77 86],[[ 76  84  30 102]; [  6  74  38  72]],[[ 12   2  32  78]; [ 28  38  90 104]],[94 24 28 48],[100   2  80  92]
[2 9],[95 49],6,4,[80 42],[77  6],[[86 64 82  6]; [46 12 72  4]],[[12 94 66 78]; [10 66 54 68]],[58 12 68 86],[104  70  24  58]
[94 52],[ 27 103],48,8,[76 52],[102  98],[[84 98 64 94]; [90 98 84 86]],[[ 44  38  42  50]; [  4  26  56 100]],[98 66 76 54],[82 56 12 64]
[1 8],[65 14],98,92,[25 79],[85 82],[[74 90 86 74]; [38 52 78 42]],[[78 80  4  4]; [48 60 56 66]],[34 20  0  6],[54 64 72 54]
[67 17],[45 91],6,26,[18 38],[41 35],[[82  6 60 30]; [38 76 28 46]],[[ 6 80 82  0]; [66 78 80 32]],[64 32 88 34],[84 46  0 32]
[55 12],[26 51],6,66,[73 78],[87 67],[[38  8 86 72]; [ 0 90 52 62]],[[32 96 30 38]; [44 16 56  2]],[32 30 70 60],[68 80 46 48]
[49 58],[83 13],34,74,[43 47],[ 4 55],[[ 0 60 60 40]; [72 48 66 92]],[[38 26 42  2]; [14 42  2 12]],[ 94 104  26  16],[30 88 76 66]
[61 31],[34  4],92,6,[13 90],[ 3 21],[[ 20 104  56  22]; [ 64   8  16   6]],[[ 46  26 102 104]; [ 22  46  16 100]],[54 82 56 78],[44 98 46 64]
[25 22],[97 27],34,26,[95 12],[ 44 103],[[ 14 100  54  26]; [ 98  38  26  34]],[[70 34 54 40]; [84 24 62 46]],[62 56 32 92],[38 16 36 30]
[86 31],[104   7],6,92,[102  24],[28 73],[[86 48 70 74]; [40 74 34 62]],[[ 92  18 100  90]; [ 40  94 100  30]],[24 76 54 88],[12 90 60 24]
[55 74],[89 70],10,76,[96 91],[80 54],[[ 2 48 60 46]; [96 88 36 80]],[[58 50 76 52]; [38 18 74 56]],[46 78 52 78],[18 80 16 34]
[26 12],[48 31],34,38,[86 79],[35 38],[[ 88 100  60   0]; [ 28  54  70  14]],[[102  74  48  66]; [  0  58  90  32]],[38 98 88 76],[30 58 64 60]
[83 46],[22 68],24,78,[15 37],[80 23],[[76 54 88 84]; [30 22 84 92]],[[ 68  80 104  14]; [  2  82   0  64]],[10 38  4 16],[28 62 36 86]
[97 21],[80 88],98,50,[51 95],[99 62],[[ 4 52 32  0]; [74 16 56 98]],[[64 48 50 90]; [36 80 60 60]],[26 44 42 76],[12 90 70 76]
[71 72],[33 32],88,22,[91 15],[ 6 49],[[36 42 16 88]; [74 18 10 88]],[[104   4  10  42]; [100  86  88  94]],[ 2 34 96 60],[56 50 52 42]
[75 88],[64 95],18,18,[46 98],[24 98],[[14 16 72  6]; [56 78 64 24]],[[80 12 76 58]; [16 36 10 42]],[ 34 104  86  52],[40 12 36 90]
[22 23],[47 69],38,26,[33 20],[80 14],[[74 42 50 56]; [56 40 98  6]],[[88  8 26 62]; [68  0 74 20]],[90 26 14 18],[34 56 34  4]
